Año,Región,Código provincia,Provincia,Código Cantón,Cantón,  Valor Agregado , Impuestos a los producto , PIB , Exportaciones , Importaciones 
2021,Central,1,San José,110,Alajuelita,"180,922.62","14,864.07","195,786.69",947.2916477,"22,294.19"
2021,Central,1,San José,111,Vázquez de Coronado,"295,476.57","21,389.91","316,866.48",1305.641405,"25,818.69"
2021,Central,1,San José,112,Acosta,"66,120.61","4,847.51","70,968.12",17622.47908,"8,009.28"
2021,Central,1,San José,113,Tibás,"471,274.53","46,714.42","517,988.94",21095.4371,"44,021.12"
2021,Central,1,San José,114,Moravia,"382,306.83","35,701.04","418,007.86",24738.57603,"53,067.15"
2021,Central,1,San José,115,Montes de Oca,"1,040,409.28","40,875.01","1,081,284.30",6001.199351,"25,353.10"
2021,Central,1,San José,116,Turrubares,"17,559.50",549.79,"18,109.29",2.699312027, -   
2021,Central,1,San José,117,Dota,"32,846.73","1,460.68","34,307.41",1465.044454,48.4
2021,Central,1,San José,118,Curridabat,"805,308.14","56,923.82","862,231.95",11475.97999,"58,077.83"
2021,Brunca,1,San José,119,Pérez Zeledón,"583,712.88","38,057.55","621,770.43",12050.09902,"7,545.94"
2021,Central,1,San José,120,León Cortés Castro,"66,909.94","4,118.87","71,028.80",0.403828706,461.43
2021,Central,2,Alajuela,201,Alajuela,"3,691,955.66","376,877.56","4,068,833.22",3504415.104,"2,485,137.72"
2021,Central,2,Alajuela,202,San Ramón,"354,244.78","24,571.05","378,815.84",25930.57224,"33,437.14"
2021,Central,2,Alajuela,203,Grecia,"406,153.05","53,069.83","459,222.88",124195.9546,"85,972.43"
2021,Pacífico Central,2,Alajuela,204,San Mateo,"17,829.44",851.26,"18,680.70",205.825584,128.48
2021,Central,2,Alajuela,205,Atenas,"111,715.05","7,868.95","119,584.01",1936.100412,"3,841.18"
2021,Central,2,Alajuela,206,Naranjo,"160,494.16","18,039.62","178,533.79",5690.374491,"20,461.79"
2021,Central,2,Alajuela,207,Palmares,"169,205.63","15,208.22","184,413.85",14573.29385,"46,620.22"
2021,Central,2,Alajuela,208,Poás,"138,921.72","9,615.33","148,537.05",3714.708879,"7,349.25"
2021,Pacífico Central,2,Alajuela,209,Orotina,"88,891.50","6,904.97","95,796.47",1194.274503,513.87
2021,Huetar Norte,2,Alajuela,210,San Carlos,"1,099,104.62","75,119.79","1,174,224.41",282559.3401,"65,056.59"
2021,Central,2,Alajuela,211,Zarcero,"92,765.15","4,403.14","97,168.29",1359.668983,"2,106.01"
2021,Central,2,Alajuela,212,Sarchí,"91,945.56","5,776.42","97,721.98",14704.39724,"3,931.03"
2021,Huetar Norte,2,Alajuela,213,Upala,"166,654.39","7,060.05","173,714.44",30150.91129,284.21
2021,Huetar Norte,2,Alajuela,214,Los Chiles,"113,298.76","2,920.27","116,219.03",15084.89662,39.49
2021,Huetar Norte,2,Alajuela,215,Guatuso,"53,286.08","2,044.22","55,330.31",427.5251805,"1,551.93"
2021,Huetar Norte,2,Alajuela,216,Río Cuarto,"53,305.71","1,395.79","54,701.50",7425.966055,"7,183.64"
2021,Central,3,Cartago,301,Cartago,"1,424,239.07","206,834.65","1,631,073.72",955063.0712,"634,392.37"
2021,Central,3,Cartago,302,Paraíso,"249,702.28","17,324.20","267,026.48",37426.71483,"12,091.06"
2021,Central,3,Cartago,303,La Unión,"540,323.31","69,008.52","609,331.83",56997.93121,"80,157.97"
2021,Central,3,Cartago,304,Jiménez,"92,238.12","5,784.38","98,022.50",1848.52982,"1,229.53"
2021,Central,3,Cartago,305,Turrialba,"304,306.62","22,322.21","326,628.83",18783.16069,"6,796.29"
2021,Central,3,Cartago,306,Alvarado,"79,824.23","4,631.14","84,455.37",45.29901742,"1,641.81"
2021,Central,3,Cartago,307,Oreamuno,"118,593.94","7,215.36","125,809.29",16604.61366,"10,068.45"
2021,Central,3,Cartago,308,El Guarco,"176,907.24","14,858.95","191,766.19",27185.41501,"34,320.29"
2021,Central,4,Heredia,401,Heredia,"2,036,356.57","137,717.06","2,174,073.63",766230.7587,"754,882.48"
2021,Central,4,Heredia,402,Barva,"208,064.63","12,801.62","220,866.25",8761.396844,"17,955.79"
2021,Central,4,Heredia,403,Santo Domingo,"526,087.37","50,396.74","576,484.11",16897.20293,"63,092.14"
2021,Central,4,Heredia,404,Santa Bárbara,"114,075.65","7,005.10","121,080.75",5765.736103,"11,184.32"
2021,Central,4,Heredia,405,San Rafael,"288,743.54","10,972.40","299,715.94",268.1458139,"10,637.22"
2021,Central,4,Heredia,406,San Isidro,"127,843.69","7,652.56","135,496.25",986.1150643,"3,141.71"
2021,Central,4,Heredia,407,Belén,"1,286,613.37","128,478.68","1,415,092.05",4591.786076,"32,925.38"
2021,Central,4,Heredia,408,Flores,"301,656.47","123,537.57","425,194.04",5977.766087,"13,429.87"
2021,Central,4,Heredia,409,San Pablo,"187,328.63","14,594.53","201,923.15",105.7899807,"3,518.44"
2021,Huetar Norte,4,Heredia,410,Sarapiquí,"290,789.90","14,594.42","305,384.31",168928.8335,"8,639.71"
2021,Chorotega,5,Guanacaste,501,Liberia,"767,232.63","60,870.54","828,103.17",9394.647677,"29,299.39"
2021,Chorotega,5,Guanacaste,502,Nicoya,"225,516.71","11,822.77","237,339.48",13214.63453,"3,034.83"
2021,Chorotega,5,Guanacaste,503,Santa Cruz,"324,641.52","27,668.45","352,309.97",964.1843639,"3,483.26"
2021,Chorotega,5,Guanacaste,504,Bagaces,"138,136.81","9,316.06","147,452.86",484.2732408,"4,116.77"
2021,Chorotega,5,Guanacaste,505,Carrillo,"229,613.48","17,661.39","247,274.87",7306.61158,"9,687.64"
2021,Chorotega,5,Guanacaste,506,Cañas,"135,822.34","10,299.83","146,122.17",28082.45718,"12,025.24"
2021,Chorotega,5,Guanacaste,507,Abangares,"91,411.12","11,532.06","102,943.18",31393.50113,"11,811.38"
2021,Chorotega,5,Guanacaste,508,Tilarán,"154,732.57","9,916.56","164,649.13",269.0969367,"1,890.54"
2021,Chorotega,5,Guanacaste,509,Nandayure,"35,668.36","2,470.15","38,138.51",2911.499514,138.01
2021,Chorotega,5,Guanacaste,510,La Cruz,"62,283.43","4,514.89","66,798.33",32145.16786,"2,782.27"
2021,Chorotega,5,Guanacaste,511,Hojancha,"25,229.98","1,274.58","26,504.56",91.55170474,12.29
2021,Pacífico Central,6,Puntarenas,601,Puntarenas,"652,003.29","55,664.51","707,667.81",171291.1766,"343,261.33"
2021,Pacífico Central,6,Puntarenas,602,Esparza,"118,771.84","11,663.41","130,435.24",82787.86637,"194,155.22"
2021,Brunca,6,Puntarenas,603,Buenos Aires,"127,367.68","4,521.56","131,889.24",363.2607726,484.94
2021,Pacífico Central,6,Puntarenas,604,Montes de Oro,"65,177.77","5,491.69","70,669.46",678.874893,617.69
2021,Brunca,6,Puntarenas,605,Osa,"141,348.17","8,924.37","150,272.54",1017.927328,627.43
2021,Pacífico Central,6,Puntarenas,606,Quepos,"180,076.25","15,227.57","195,303.82",23816.72467,"5,249.31"
2021,Brunca,6,Puntarenas,607,Golfito,"175,685.24","16,368.75","192,053.99",0,"28,599.42"
2021,Brunca,6,Puntarenas,608,Coto Brus,"138,363.27","7,071.41","145,434.68",1325.376085,607.23
2021,Pacífico Central,6,Puntarenas,609,Parrita,"89,866.28","5,151.23","95,017.51",13900.08949,"1,328.44"
2021,Brunca,6,Puntarenas,610,Corredores,"175,154.21","7,506.18","182,660.39",185093.5062,"9,679.20"
2021,Pacífico Central,6,Puntarenas,611,Garabito,"171,945.92","14,549.08","186,495.01",611.1779825,"6,262.28"
2021,Huetar Caribe,7,Limón,701,Limón,"419,982.89","24,607.07","444,589.96",102329.9783,"1,239,357.09"
2021,Huetar Caribe,7,Limón,702,Pococí,"652,201.41","57,647.00","709,848.41",466610.8495,"230,242.04"
2021,Huetar Caribe,7,Limón,703,Siquirres,"362,920.57","24,703.01","387,623.58",85988.35648,"105,544.32"
2021,Huetar Caribe,7,Limón,704,Talamanca,"143,153.87","10,353.97","153,507.83",3745.098942,226.82
2021,Huetar Caribe,7,Limón,705,Matina,"202,626.65","7,725.70","210,352.34",35752.28887,"8,803.49"
2021,Huetar Caribe,7,Limón,706,Guácimo,"173,022.00","6,893.71","179,915.71",78912.43982,"27,487.52"
